comments,Logistic Regression,Gradient Boosting
yo le pondria el v10 del bmw m5 y lo prepararia para circuitos,0,0
queremos sin duda que llegues hasta el final de esto y si logras sacarle el pin seria la leche,0,0
vaya mierda de cochestengo en mercedes de hace veintiséis anos que es una maravillamalvamos mal con los coches de hoy en dia,0,0
supongo que cuando la gente despierte y dejen de comprar tesla y la marca caiga en picado se pondran las pilas,0,0
la gracia es que los coches de combustion actuales tambien van conectados por gsm a la red del fabricante cuanto tardaran en hacer lo mismo con cualquier vehiculo,0,0
tienes toda la razon figura es algo que no se entiende tanta parafernalia para un coche que es tuyo pagado x ti no es de tesla ya y bueno que decirte del pais nos tienen enganados sigo tu videos eres un figura felicidades y gracias x toda esa informacion que nos brindas,0,0
que verguenza de tesla el verdadero tesla estara alucinando en su tumba gracias angel ponle un v8,0,0
lo que hace tesla entiendo que es ilegal y en un juzgado le daran la razon al cliente si tu has pagado un bien la marca no puede inutilizarlo porque no pases las revisiones en la marca hay una ley sobre garantias que ya dejo claro el tema pues en este caso entiendo que es lo mismo elon va acabar arruinando tesla porque todo esto hace que nadie quiera comprar un tesla nuevo y menos de segundamano,0,0
y yocon mi patrol k260 del 95zumbando todos los diasy aun con repuestos para el,0,0
mi pregunta es si tu arreglas el coche en tu taller y luego sufre un accidente porque le ha fallado algun sistema de conduccion autonoma de quien es la culpa creo que tesla no quiere el mas minimo riesgo a que se lo reparen mal y luego les caiga una demanda porque les ha fallado algun sistema estos coches con tanta electronica,0,0
lo bueno que la electrificacion vehicular en todo el mundo se quiere imponer para detener la contaminacion combatir el cambio climatico y salvar a los osos panda obviamente no se hace para hacer negocio tener control sobre la poblacion y restringir libertades,0,0
trabajo con maquinas de corte por laser que valen cientos de miles de euros a las doce mil mil horas de trabajo hay que cambiar si o si unos filtros ya que sino te apagan la maquina y no la puedes usar no me sorprende que tesla lo haga,0,0
se lo hubieras dado al gabo salazar el debe conocer a algun gestor para matricularlo aqui en mexico ya nadmas te manda los documentos y ya,0,0
ojo porque siempre estamos igual el vehiculo es tuyo pero el software que lleva el mismo solo tienes una licencia de uso con unas condiciones y esta es totalmente revocable si el fabricante quiere con el coche puedes hacer lo que quieras eso si sin el software dudo que funcione y ese no es tuyo este es el problema de las licencias y ira a peor con el tiempo,0,0
buenisimo video angel gracias por compartir con todos estas informaciones y abrir los ojos a muchos incautos fuerte abrazo,1,1
en fin agenda dos mil treinta,0,0
y no puedes modificarle el software de alguna manera para desbloquear el coche y que no te lo puedan apagar desde remoto,0,0
diselo a miguelito motores que tiene un model x tirao en casa echo mistos,1,0
el problema es bien sencillo no comprar teslas yo con mi tesla nunca tendre problemas xqe no pienso comprarme ninguno mi libertad no tiene precio ya tb deje de usar iphone hace anos,0,0
siii dales cana ya lo creo pero cuentalo todo aun que hagas un video de hora y media sigue asi lo haces genial,0,0
eso de apagar el coche en remoto esta bien si te lo roban pero disponer la documentacion demostrar que realmente es tuyo y tenerte el coche bloqueado debe de ser ilegal y debiera de tener una sancion por parte de la justicia angel me temo que este es otro pleito con tesla,0,0
buenas noches angel esta noche te e visto con iker jimenez y tengo que decir que es vergonzoso que no se le financie o ayude a este constructor valenciano y se gaste tanto dinero en inmigrantes que son una ruina para el pais pero como solo tenemos payasos mandando pues es lo que nos toca con este pais y respeto a los payasos de profesion gracias,0,0
denuncia les vuelves a ganar,1,1
eso en un juicio tiene que ganarse seguro es una propiedad privado no tienen derecho a dejarte el coche como pisapapeles al juzgado angel,0,0
que facil es criticar el vehiculo electrico sin saber la procedencia y historial de ambos vehiculos sobre todo cuando se trata la seguridad de los futuros pasajeros,0,0
viva los coches de combustion y fuera los coches electricos,1,1
vaya basura de marca tesla,1,1
angel esto no se puede permitir el destino lo ha puesto en tus manos porque tu si puedes porque cuentas con nuestro respaldo y porque ya les has ganado un pulso a por ellos esto hay que cortarlo para que siente precedente si hay que aportar para gastos yo estoy dispuesto,0,0
ahora hay que esperar que hace la union de chery y ebro en la antigua fabrica de nissan en barcelona,0,0
no comprare un tesla en mi pu ta vida,0,0
llevo casi dos anos y vuelvo a repetir ls imposicion del coche elecrrico ha sido para cargarse la industria automotriz europea cuyo pib rondaba el mil doscientos quince pib con veinticinco millones de nuestos directos y 10m indirectos prevismente se ataco la competitividad de la industria europea con sanciones ninja s rusia impuestas por la comision europea que recibe las ordenes del otro lado del atlantico sencillsmente al otro lado no van a permitir que le hagamos un sorpaso porque sin nosotros no tendriam presencia en europa y sin presencia en europa serian una isla esa es la imposicion del ev impulsada por tesla una marca que ha recibido quince b de dolares en ayudas edtatales,0,0
sera para evitar que piratas compraventas te encajen un siniestro total como si fuera un km0,1,0
si el vehiculo ya estaba matriculado en espana no necesita pasar itv para hacer la transferencia del permiso de circulacion si viene de otro pais si,0,0
gracias,1,1
muchas gracias por invertir tu tiempo en esta informacion ojala todo el mundo se de cuenta del engano de los electrodomesticos,0,0
rehabilitaciooooon,1,1
pero eso es como comprar iphones con cuentas de icloud hay que saber lo que se compra el trapicheo no va bien,0,0
grande angel sigue luchnado a por ellos,1,1
el futuro es el control total,1,1
darle cana a esta gente que lo quiere manipular todo por tener el poder de tenerte cogido por las,0,0
tesla estafa,1,1
el maravilloso timo de electrifcar,0,0
ni en ni en cualquier pais del mundo se le puede poner un motor ub seis o ub ocho porque esa denominacion no existe si existen los motor en v se pronuncia b seis o en v se pronuncia b ocho porque los de hablan taaan mal,0,0
me da que lo de salvage title viene por que el coche es procedente de estados unidos y cuando un coche tiene un siniestro en estados unidos se cambia el clean title por el salvage title y para que pueda volver a circular tienes que pasar una inspeccion de seguridad en el dmv donde lo que comprueban es que el coche ha sido reparado con piezas que no han sido robadas no es como la itv en espana solo comprueban que las piezas que has utilizado para reparar no son robadas y tras eso te dan un rebuilt title o clean title segun el estado eso te pasa con cualquier otro coche ademas aqui en espana la magnifica administracion que tenemos no te va a dejar matricularlo me paso con un mustang que compre donde solo habia que reparar algo de chapa y el caso de tesla es que tienes que actualizarle el title para que te lo desbloquee,0,0
muy bien dicho si senor creo que mas alto se puede decir pero no mas claro hay que sacarles los colores a la gente de la silla gorda para que vean que no nos van a enganar tan facilmente te felicito por el video,0,0
normal que lleves a reparar el tesla a tu mecanico de confianza que probablemente haya visto un electrico en las noticias y despues de cacharrear a sus anchas y no tener claro al cien lo que ha tocado que vuelva a las carreteras sin ningun tipo de garantia que sufra un accidente por fallos en la electronica y que hagan responsable a tesla no traes tu coche al servicio oficial y por ello pensamos que puede ser un peligro para el resto de usuarios pues de forma cautelar te bloqueamos el coche,0,0
los sitios de reciclaje estan en africa tirado en cualquier sitio,0,0
un tesla es un problema dos teslas dos problemas,0,1
entonces no compras realmente el cocheellos tienen la ultima palabrasi envias a tesla la documentacion como que los has comprado de dos mano y tu le explicas en que condiciones esta igual te lo hacen llevar a sus instalaciones para darle el ok y desbloquear con el pina eso no se beden de negar,0,0
a saco,0,1
excelente video angel y verdades como punos que has dichoun abrazo sigue asin,0,0
donde este la c15 que se quiten el resto de marcas y modelos c15 for ever,0,1
ferrari te prohibe tambien una serie de cosas con tu coche bueno son mierd que o se deben permitir,0,0
quiere decir que la contaminacion para fabricar un tesla la contaminacion al quedar obsoleto es peor que la contaminacion de un auto a combustible fosil,0,0
desde que salio el tongo del coche electrico no me lo he tragado a parte tengo dos amigos que son mecanicos y desde el minuto cero me dijeron que ni hibridos ni electricos es mas en sus talleres y gruas no pone una rueda un coche asi,0,0
senores esto del electrico es solo begocio y negocioa la mierda lo electrico mi honda accord me lleva a todos lados ano 2002un fierrazo,0,0
si desifraron el la llave del bitlocker de windows en cuarenta y tres segundos utilizando una rasberry seguro llegaras a encontrar el numero magico,0,0
desde el convencimiento de que la movilidad electrica es el futuro gracias angel por denunciar estas practicas,0,0
ponle un v8,1,1
pues pueden cerrar ya tesla,1,1
grande angel,1,1
porque alla no se peude swapear saludos desde argentina,0,1
biba tesla y los choces eletricos,1,1
el tesla declarado siniestro salvage si viene de importado no se va a poder matricular aqui necesitaria haber sido reconstruido alli rebuild y luego hacer homologacion individual pero es harto dificil por que tiene que cumplir con reglamentacion de seguridad electrica que al tener la aprobacion y normativas americanas no son equivalentes a las europeas,0,0
vaya dictadura lo de tesla no que verguenza y luego aparte ya funcionan como los telefonos moviles poner pin hasta seguro actualizar software y mierdas pufff que castana ademas que con el paso de los anos las baterias se van muriendo buagg,0,0
y me llamaban loco por comprarme un audi etron,1,1
el dia que tesla me regale un coche le dejare que me deje sin coche mientras me abstengo de comprar un tesla pagarlo y quien no es el dueno que haga esas practicas esto deberia ser denunciable,0,0
es una verdadera verguenza menos mal que a veces hay david que derriba a goliat animo eres muy grande,0,1
y michael motors aun diciendo que va a arreglar el suyo,1,0
conclusion dejen de comprar estos autos que tienen infinidad de problemas con costos elevadisimos siendo menos medioambientalmente sano que uno a combustion y encima no dan soluciones la culpa la tiene el usuario por seguir comprando este tipo de vehiculos,0,0
gracias por mostrarnos estos ejemplos donde se ve la direccion que va tomando nuestra sociedad hacia un mayor control la mentira como algo comun y la hipocresia ecologica en la que vivimos,0,0
muy interesado en conocer como continua esto de los tesla por cierto en europa se han ganado juicios contra grandes marcas que no vendian sus repuestos a talleres lo digo por si ha sentado jurisprudencia y pueden obligar tambien a estos caraduras a que os tengan que vender los repuestos y herramientas necesarias para hacer las reparaciones,0,0
tesla,1,1
que una marca te quite el derecho a usar algo que no te regalo si no que pagaste por el producto sin duda es una dictadura y el ejemplo de que te deje o no usar sus cargadores miedo me da el futuro lo siento pero gasolina y diesel y que se coman ellos el cuento,0,0
me parece un abuso de poder por parte de tesla pero que vas a esperar de la compania de un tipo que se cree mas que dios lo siento pero no veo el coche electrico por ningun lado me parece una estafa tanto por autonomia como por tiempos y capacidad de carga y vamos a ser realistas hay profesionales yo soy comercial sesenta mil km anuales a los que no nos vale un vehiculo electrico ni enchufable ni de los que llevan su propio generador el diesel bien gestionado sin adblue y bien mantenido por parte del usuario no tiene que ser desestimado y mucho menos prohibido,0,0
el ecologismo que tanto proclaman es solo cara a la galeria y sacar dinero clart,1,1
eso es monopolio,1,1
yo era un fan de tesla y tengo un x pero definitivamente en un futuro no vuelvo comenzando por la mentalidad de elon m y todo lo que a cambiado no apoyare mas a esta marca,0,0
perro el del c roto que va en tesla o en v8 y falcom,0,0
tengo una kangoo con doscientos cincuenta mil kms no la dejare hasta que se caiga a pedazos,0,0
mi recomendacion es no comprar tesla hay muchos chinos con excelente performance a un precio mucho menor hacerle una campana para que nadie cometa el error de caen en ese error,0,0
vi un video en el que prepararon un tesla model s que provenia de inundacion lo transformaron a v8 termico y lo llevaron al sema,0,0
de donde procedera el coche negro miedito me da no eres fan de ayuso pues toma libertad gaitan,1,0
vivimos en un mundo hipocrita,1,1
eso pasa por comprar neveras con ruedas,1,1
tema electricos negocio total nada nada mi e46 sigue andando perfecto,1,1
brutal el video nino,0,1
maestro estas a anos luz del humano promedio me han dicho que cambie mi termico viejo por un termico nuevo con tablet va a salvar eso al planeta o el planeta les importa un pimiento no hace falta que me compre un ev porque ya se estan vendiendo los suficientes me parace un poco sin sentido,0,0
verdades expresadas con el puno derecho y el guante bien ajustado mis respetos angel y lo digo porque no escondes las verdades ni las buenas ni las malas gracias por tanto esfuerzo,0,0
por ciero angel muy buen video como siempre gracias,0,0
hostia madre mia menudo reto que verguenza de marca,1,1
angel sigue con ello no me compro un tesla a hasta que no este seguro de que sera exclusivamente mio y elon necesita que le bajen los humos,0,0
va a ser interesante la investigacion,1,1
comprar un coche para que te estafen,1,1
sera por todo esto que nos los quieren imponer no me extranaria,0,0
cada vez tengo mas claroque cuantas menos baterias lleve el proximo coche que me compremucho mejor que estafa y con la complicidad de nuestros gobiernos,0,0
excelente video angel me ha gustado bastante lo esplicas super bien y eres muy sincero tienes toda la verdad hay mucha mentira por ahi e interes ojala hubiera mas angel gaitan en espana muchas gracias angel eres el numero uno,0,0
en sintesis tesla es una mierda,1,1
es un asalto tu pagas y ellos deciden y limitan el uso es inaceptable yo soy un terrorista medioambiental por tener un diecinueve tdi que con 250milkilometros sus mantenimientos y limpieza de egr y admision va como un reloj no tiene el timo de la etiqueta,0,0
cuando los gobiernos y las marcas companias limitan el aprovechamiento del carro o celular por medio del software de tu vehiculo celular y demas equipos estan violando tu libertad de esta forma estas en la obligacion de defenderte de esta agresion como mejor puedas porque es tu dinero y tu compras un producto y haces con el lo que desees siempre y cuando no afecte la libertad de otros o su seguridad,0,0
y eso es ecologia para ayudar al medioambiente mi ibiza del dos mil no me pide pin,0,0
vaya basura de coche menos mal que muchos me dijeron que eran un timo y nadie los compramos,1,0
buena reflexion si no tenemos en cuenta que si deja a cualquier manitas que arregle sus coches cuando el vehiculo salga ardiendo el titular sera un tesla se incendia sabes lo que pasa cuando un manitas de estos no tiene abrazaderas a mano y aprieta un manguito de un coche de combustion con cinta americana y esta se suelta por el calor sin que el conductor se de cuenta de lo que marca la aguja porque ni la mira o no sabe para que sirve pues que sale ardiendo el coche y a nadie le importa tesla hace bien por su propio prestigio en no dejar que coches dados siniestro se vuelvan a poner en circulacion es un producto muy sofisticado para que lo deje en manos de manitas es mi punto de vista,0,0
es una autentica aberracion tanto el hecho que puedan desconectar el coche como cualquier tipo de comunicacion entre el coche y la compania las comunicaciones se justifican por las actualizaciones de software y han aprovechado para anadir todo tipo de herramientas de monitorizacion y control esto pasa en los coches y en todo tipo de productos que antiguamente no requerian ningun tipo de conexion y va a mas antes te vendian un producto cerrado que usabas a libre disposicion mientras que ahora cada vez mas cosas necesitan conexion lo mas grave es la perdida de derechos libertad y monitorizacion a la que nos someten con estas nuevas funcionalidades y no solo tesla por supuesto pero esto es como la fabula del sapo en la olla con agua caliente van anadiendo funcionalidades y a la vez monitorizando y recopilando datos con objetivos opacos cosa que en otras epocas nos hubieran alarmado y hubieramos puesto el grito en el cielo y que ahora aceptamos con normalidad corderos es lo que somos sigue adelante con el canal angel gracias,0,0
pasa como el ipuone si no desvinculas el dispositivo de tu cuenta sigue siendo tuyo gracias a eso gente como tu ha dejado de hacer negocio con dispositivos robados perdidos o que el seguro ha pagado el siniestro no compres algo que no conoces si procedencia,0,0
a por ellos que se sepan estas cosas,1,0
la movilidad electrica puesta asi como estaes una estafaesta disenada solo para que los fabricantes hagan mas dinero a costa hasta de tus derechos individuales y de propiedadporque en este caso te quitan tu dinero y en realidad tesla sigue haciendo con tu vehiculo lo que se les da la gana lo mismo va para las opciones por suscripcion de mercedeseso es algo i aceptable al final del dia mas basura desechable contaminante sobre ruedas,0,1
aguanten los vehiculos con motor de combustion,0,0
menuda mierda tesla,1,1
adios la gana de un tesla pffff menuda porqueria,1,0
en estados unidos estan armando coches viejos con todo tesla tiene que haber una forma de pasar por encima de tesla el tema es averiguar como lo hacen,0,0
la delincuencia nos gobierna todo lo demas viene solo,1,0
pero este tio no se cansa de decir mentiras o burradas o es que su fama viene de formar polemica los vehiculos que son salvage son coches de desguaces que se han dado de baja el o alguien ha comprado coches de un desguaces cuando se ha dado de baja como mismo no puedes comprar un coche dado de baja en un desguace con dano estructural y devolverlo a al carretera el lo sabe bien pero oculta decir esas cosas para crear polemica quien le dio de baja ese coche fue la aseguradora,0,0
yo pense exactamente igual ponerle un motor a gasolina jajajajaja,1,1
la mentira se ha implantado dice y tu la llevas de apellido muchacho tu no has comprado dos coches tu has comprado un monton de piezas con forma de coche uno que tesla ha dado de baja por siniestro sea por inundacion por alcance irreparable por robo por baterias y el otro un vehiculo de subasta extranjero y sin matricular que vete a saber de donde viene litigio embargo se pueden recuperar normalmente son para piezas pero ya sabes tu que si ya sabes que los estan recuperando y no es tan complicado luego lo recuperaras y te montaras la pelicula saliendo con un sobrero de napoleon y dandote golpes en el pecho con unas manitas de plastico diciendo que has vuelto a ganar a tesla o algo asi del resto del video en la linea mentira sobre mentira,0,0
en plan ironia has probado a meterle 220v alterna a la caja de control igual se resetea y te deja hacer lo que quieras,1,0
yo veo que el problema es de los que creeis que los americanos os van a dar facilidades con sus cosas de momento electrico y americano ni regalado he visto en otro video que un golf al que han rebajado los kms cada mil doscientos kms a anadir aceite pues yo tengo un bmw x3 que le cambio el aceite cada treinta y cinco mil kms y no soy yo quien lo dice me lo pide mi coche creo y pienso que quereis ir tan por delante de la tecnologia que esta os domina hay que ir leyendo la letra pequena de lo que exige el fabricante si este me quiere como esclavo conmigo lo tiene claro antes me compro un chino que vale un tercio y se puede manosear pero claro ya no es un tesla,0,0
hey esto es igual que modificar los km tanto que te quejas y haces lios,0,0
cana al mono gaitan adelante,1,1
efectivamente mas razon que un santo el coche mas ecologico es el de segunda mano eso si es reciclar menudo gol nos han metido con los coches electricos yo vivo cerca de ford valencia y cada dia la cosa peormucho coche electrico mucho robot trabajando y cada vez menos personas trabajando cual es el final pues ya te lo digo yonegro,0,0
pues no es mala idea lo de ponerle un v6 y venderlo a otro pais,1,1
despues de todo tambien pues las cosas son dificiles es una tecnologia muy nueva y habra que rezar mucho,0,0
podrias intentar contratar a tesla para que te lo reparasen y por narices lo desbloquearian ellos los mecanicos seguro que tienen autorizacion intenta hablar con el servicio tecnico,0,0
gracias al pirateo aparecieron las aplicaciones del iphone cuando lo hackearon y lo piratearon y luego google y apple eh hicieron ya su propio market a veces el pirateo es hasta positivo porque aqui todo es de dios y si ellos se pasan pues tu te tienes que defender,0,0
yo desactivare mi toledo tdi del noventa y ocho manaaana,0,0
es ilegal o legal depende la letra pequena nadie deberia retener tu coche pero si lo firmas es una mafia y obscelecencia programada testla es un sistema americano venta salvaje reparaciones muy caras te invitan que que gastes y compren nuevos coches,1,0
practicas abusivas hacia el consumidor otra denuncia tesla,1,1
si que se puede poner un v6 pero y un expertoingeniero te lo aprueba,0,0
si se puede poner el coche en la app de tesla aunque no este matriculado en espana y sin entregar en ningun momento el permiso de circulacion,0,0
buenas companero de oficio en el primer tesla que muestras con un golpe mira ver si ha saltado el fusible pirotecnico de la bateria de 12v que no recuerdo bien donde va pero muy cerca de ella por si acaso es eso que a nosotros nos paso,0,0
ilegal o se rien en tu cara mejor,1,1
parece que teneis los coches alquilados a la marca y no ser los verdaderos propietariosen fin si por mi fuese el senor elon podria meterse todos y cada de sus vehiculos donde le quepa,0,0
a por ellos,1,1
pasateeeeee a lo electricooooo siempre lo puedes usar como pisa papeles tambien puedes ponerle un marco y colgarlo en la pared y aunque lo puedas poner en marcha solo te vale para aprender quizas en un mundo alternativo tenga salida mientras no puedas ponerle una pila atomica saludos,0,0
pienso que esa accion por parte de tesla es completamente ilegal maxime teniendo en cuenta que el coche no es de tesla sino del legitimo propietario que lo ha pagadocon que derecho bloquean un coche que no es suyo lamentable,1,0
gracias por estos videos desconocia totalmente algunos tecnicismos y todo ese protocolo de m de tesla como aficionado a los coches me encantan los electricos pero cada vez tengo mas claro que el proximo no lo sera a no ser que me sobre el dinero para tirarlo y que como vosotros tenga ganas y tiempo de trastear,0,0
respecto a lo de tesla y su poderio me callo en cuanto al codigo hay dos posibilidades cero o mil doscientos treinta y cuatro,0,0
tesla esta acabado el futuro es el hidrogeno,0,0
diesel foreverqueda mucha vida en un mercado de segunda mano crecientepero angel a por ellosesto no es usa esto es esparta,0,0
no veo el problema la cuestion es por que siguen comprando teslas,1,0
adelante con el proyecto,1,1
si la gente no comprara ni uno otro gallo cantaria todo una trampa jajaja de momento ni pienso en coches electricos y tesla para mi no existe en mi universo tesla ni esta ni sele espera igual que apple hay luz detras de estas sombras,0,0
tesla es una mierda es lo que pienso son tabletas con ruedas,1,0
a ver se quejan por que deshabilitan estos coches que han sido manipulados de esta manera pero luego si sale ardiendo uno de estos coches va a ser que los teslas se incendian otra cosa cuando compras un movil de segunda mano te aseguras que tiene las medidas antirrobo desactivadas por que apple se desentiende como no tengas acceso a la cuenta,0,0
hace anos ya hicieron peliculas de ciencia ficcion donde asesinaban a gente manipulando en remoto el coche poco falta ya tengo un puma de segunda mano microhibrido y al poco de comprarlo seis meses el antiguo propietario quiso haquearlo a traves de la aplicacion de ford por supuesto le negue todos los permisos pero aun asi tengo la mosca detras de la oreja,0,0
despues la lista de haters tragaldabas diran que eres un bocachancla que si buscas visitas todo por hablar claro enhorabuena angel vamos contigo,0,0
mi firebird del ochenta y nueve con motor v8 se rie de tesla,0,0
alucinante que le den a tesla,1,1
ni legal ni etico ni moral,0,1
haria una locura si tuviera pasta asi sea para dejarlo de pista nada mas una pegatina eco gigante forrado el coche con un motor v8 escapes libres o un 2jz para track day jajajajajaaa en el circuito de jarama con su equique eco gigante es triste el futuro de los mecanicos en espana cada vez se la ponen mas dificil y siempre le dije a mis amigos el mercado de segunda mano seria un problema gorda por el tema de degradacion de las baterias es como un iphone cuando llega ochenta de vida la gente no lo comprars ya que tiene que gastarle cien euros y pico largo en algunos casos prefieren nuevo y ya asi una cadena para que alla mas cosumismo algunas personas pero y los que nos gustan los cochesviejos o meter mano darle carino o simplemente estan en mejor estado que muchos nuevos nos jodemos no tenemos derecho a etiqueta,0,0
hay gente que se compra un tesla pensando que no se esta comparando un stellantis xdddd,0,0
un firmware open basico lo esta pidiendo a gritos,1,1
facil quitar el pin lleva un agujerito en el costado de la pantalla llamado reset solucionado,0,0
pasate a lo electrico auuuuuuuu saludos,1,1
no es solo lo que sabes lo que haces y la ilusion y claridad que pones en tu trabajo tienes toda mi admiracion y respeto un saludo,0,0
pues me parece genial por tela lo que hace con estos coches siniestrados si lo quieres arreglar que te lo certifique tesla no tu angel todo es por la seguridad de los ocupantes de sus tesla pero claro o se hace como tu digas o no vale,0,0
eso es una verguenza y hay que denunciarlo el propietario eres tu no tesla y no es quien para desconectar el vehiculo hay que denunciar y ganas seguro no se puede permitir tanta prepotenciael dueno del coche es quien lo paga tesla enterate de una vez,0,0
animo angel el coche electrico no tiene futuro por ese camino,0,0
lo peor es que la gente los sigue comprando,1,0
me interesa ves actualizando como va la cosa por favor y si son videos entre diez y veinte min eso seria lo maximo gracias,0,0
ojala le metieses un v8 aunque sea por la experiencia,0,0
obviando las criticas a lo vehiculos lavadora en este caso concreto de bloquar el vehiculo en modo salvaje es una medida de seguridad no se puede sacar un vehiculo a la calle de cualquier manera como demonios sabe tesla que la reparacion es apta porque si ocurre una desgracia luego pagan el pato en el coche del pin ocurre algo parecido pero como antirrobo hay una mala costumbre de los usuarios y es revender cualquier cosa de cualquier manera con datos personales el pin fotosetc ese vehiculo esta registrado en el sistema y tesla no sabe si es de reventa por tanto el anterior propietario debe de darlo de baja y para eso estan los avisos legales y condiciones de venta que nadie lee si no se especifica el cambio de propietario como sabe el sistema de tesla que no es un robo como lngeniero informatico de sistemas embebidos ya le digo yo las trastadas de lo usuarios que pasan re todo y na mas buscan beneficios sin responsabilidades perdon por la chapa y un saludo,0,0
como los coches de gasolina no hay nada,0,0
tienes unos problemas que no tiene nadie macho yo creo que los buscas a proposito,1,0
bien venidos al maravilloso mundo de los coches electricos todo es un negocio que tiene poco de transicion ecologica y un mucho de intereses comerciales buen reportaje,0,0
eso pasa por comprar un gadget electrico americano,1,1
pregunta no habia una directiva europea de derecho a reparar yo creo que por ahi se le puede coger a tesla como bien dice angel te puede vetar ciertos servicios propios pero no tienen derecho a bloquearte el coche de tu propiedad si tu has decidido repararlo sea como sea creo que lo digo se ajusta a derecho sin ser abogado,0,0
la solucion es no comprarse un tesla jajaja,0,0
el dia que llegue alguien y aprenda a hackear los coches electricos cambiara todo como con las video consolas,0,0
seria cuestion de comprobar el tamano y si esta a la venta pero en la bateria que tengo del renault siete lleva unos adaptadores al tener los bornes finos me parece fatal que tengas un vehiculo en propiedad y te puedan hacer esas putadas yo creo que es denunciable y cualquier juez con dos dedos de frente te daria la razon,0,0
en que momento has determinado que este bloqueado y que lo este por tesla y en que momento lo has ensenado porque por lo que tengo entendido lo que pasa cuando tesla determina un vehiculo como para despiece salvage el vehiculo sigue funcionando pero dejan de ser legalmente responsables de danos que pueda causar cualquier fallo lo cual es absolutamente comprensible y legitimo especialmente en cuanto a la alta tension o las baterias si de verdad esta bloqueado por tesla que salvo que se me pasase algo no has explicado ni mostrado como has determinado cien que sea asi y descartado que no tenga fallo se me ocurre que si por la legislacion europeaespanola les es absolutamente imposible descargarse razonablemente de la responsabilidad legal que hayan decidido aplicar esos bloqueos aqui y en dicho caso tambien seria absolutamente legitimo y comprensible que lo hagan y las hostias deberian de ir al engendro hiperregulador que nos empobrece y perjudica a todos y no a la empresa que no son esclavos ni tuyos ni nuestros ni del estado me quedo con la curiosidad de saberlo un saludo,0,0
angel vamos hasta el fondo de esos teslas,1,0
angel manda a la mierda primero a tesla esos coches tesla son basura segundo piratealos todo para ahorrarte llamarles para nada veras como se ponen las pilas,0,1
podran bloquearte en lo que se refiera a sus servicios y prestaciones aunque no se hasta que punto pues esos servicios son de pago pero no creo que sea delo todo legal el bloqueo de una propiedad particular,0,0
los coches electricos estan muy bien en el escalextric,1,0
que verguenza te compras un coche y te lo apagan vaya desproposito,1,1
vaya basura de fabricantesgran video sera muy interesante ver hacerle ingenieria inversa para poder acceder a todas las opcionesdesde luego esta claro que quieren acabar con los talleres de todas las formas posibles,0,0
tienes razon,1,1
yo lo veo bien esto no es un patinete si la gente hace burradas puede arder o tener un accidente y matar a muchos ademas de perjudicar la imagen de marca,1,0
a por ellos,1,1
dales cana angel partete el pecho con ellos,1,1
resumiendo si compras un electrodomestico no tienes un automovil dales cana angel pero que mucha cana,1,0
magnifico video y gracias por la info i,0,0
setecientos seis quien es tesla muy buena pregunta podemos hacer mas quien es la union europea para prohibirte entrar en ciudades con tu vehiculo quien es ue para obligar que uses energias renovables etcetc,0,0
lo que me encantaria es ver como pasa un tanque por encima de esos dos coches es una verguenza con lo que valen que sean tan chapuceros,0,0
mucho muy interesante,1,1
comprar vehiculos de hace quince anos son lo mejor,1,0
eres bueno sigue asi,1,1
es duro escucharlo pero esto es oligopolio o monopolio la empresa tiene el poder de todo y sobre todo no soy anticapitalista pero cada vez las grandes empresas tienen mas poder debido a q la justicia esta hecha para los poderosos nunca he comprado dispositivos apple xq siempre se han saltado las leyes medioambientales europeas y orefwrian oagar las multas les salia rentable las grandes fortunas y grandes empresas deben pagar mas impuestos y deben estar sujetas a mas controles del estado,0,0
yo no se si en todos los paises es asi pero en usa si necesitas el carro y es un caso de vida o muerte y el coche te lo apagan remotamente le van a hacer una demanda que se les quedan con media compania,0,0
y digo yo no se le puede volcar un sistema operativo distinto como si de un ordenador se tratase,0,0
el pin son cuatro numeros ponte todos los dias a meter cien veces numeros secuenciales quince minutos aprox y en el peor de los casos en cien dias de curro cinco meses lo has desbloqueado seguro estadisticamente en dos meses y medio y si lo haceis entre cuatro personas en quince dias de nada,0,0
siempe genial gracias por abrirnos los ojos,0,0
cuando tienes razon se te da en este video tienes toda la razon del mundo,0,0
ese coche tiene permiso de circulacion puedes enviar el original del cocheno hace falta que sea espanol,1,0
yo solo he probado un coche electrico y la experiencia fue desastrosa la ansiedad de la autonomialos cargadores fuera de servicio y encima esto yo no veo con mi experiencia nada positivo en un electrico salvo el poder presumir de que tienes un electrico para mi es un dolor de cabeza a lo mejor dentro de diez anos mi opinion cambiaun kia ceed basico llego dos horas antes que nosotros en un viaje que hicimos a no ser que sea para uso en ciudad el electrico ahora cuando veo un electrico por la autovia no me da envidia me da pena,0,0
esto es el futuro de todas las marcasa esto van con sus politicas de postventa poder operar con el solo si lo consctas a los sitemas de la marca o servicio oficial no solo reparacionestambien para mantenimientosdudo que a dia de hoy sea ni tan siquiera legal,0,0
